fecha,linea,turno,envase,maquina,toma,kg,und,baja
2026-01-02,1,3,3500005,1,1,31.0,176,true
2026-01-02,1,3,3500005,2,1,29.0,164,true
2026-01-02,1,3,3500005,3,1,29.0,164,true
2026-01-02,1,3,3500005,4,1,26.0,147,true
2026-01-02,1,3,3500005,5,1,25.0,142,true
2026-01-02,1,3,3500005,6,1,39.0,221,true
2026-01-02,1,3,3500005,7,1,14.0,80,true
2026-01-02,1,3,3500005,8,1,12.0,68,true
2026-01-02,1,3,3500005,9,1,16.0,91,true
2026-01-02,1,3,3500005,10,1,11.0,63,true
2026-01-02,1,3,3500005,11,1,11.0,63,true
2026-01-02,1,3,3500005,12,1,10.0,57,true
2026-01-02,1,3,3500005,13,1,17.0,97,true
2026-01-02,4,3,3500162,1,1,36.0,172,true
2026-01-02,4,3,3500162,2,1,31.0,148,true
2026-01-02,4,3,3500162,3,1,32.0,153,true
2026-01-02,4,3,3500162,4,1,24.0,115,true
2026-01-02,4,3,3500162,5,1,21.0,100,true
2026-01-02,4,3,3500162,6,1,41.0,196,true
2026-01-02,4,3,3500162,7,1,18.0,86,true
2026-01-02,4,3,3500162,8,1,16.0,77,true
2026-01-02,4,3,3500162,9,1,11.0,53,true
2026-01-02,4,3,3500162,10,1,14.0,67,true
2026-01-02,4,3,3500162,11,1,12.0,58,true
2026-01-02,4,3,3500162,12,1,11.0,53,true
2026-01-02,4,3,3500162,13,1,16.0,77,true
2026-01-02,1,1,3500005,1,1,15.0,85,true
2026-01-02,1,1,3500005,2,1,11.0,63,true
2026-01-02,1,1,3500005,3,1,10.0,57,true
2026-01-02,1,1,3500005,4,1,12.0,68,true
2026-01-02,1,1,3500005,5,1,11.0,63,true
2026-01-02,1,1,3500005,6,1,29.0,164,true
2026-01-02,1,1,3500005,7,1,10.0,57,true
2026-01-02,1,1,3500005,8,1,10.0,57,true
2026-01-02,1,1,3500005,9,1,11.0,63,true
2026-01-02,1,1,3500005,10,1,11.0,63,true
2026-01-02,1,1,3500005,11,1,19.0,108,true
2026-01-02,1,1,3500005,12,1,10.0,57,true
2026-01-02,1,1,3500005,13,1,10.0,57,true
2026-01-02,2,1,3500162,1,1,20.0,96,true
2026-01-02,2,1,3500162,2,1,15.0,72,true
2026-01-02,2,1,3500162,3,1,18.0,86,true
2026-01-02,2,1,3500162,4,1,20.0,96,true
2026-01-02,2,1,3500162,5,1,15.0,72,true
2026-01-02,2,1,3500162,6,1,20.0,96,true
2026-01-02,2,1,3500162,7,1,15.0,72,true
2026-01-02,2,1,3500162,8,1,12.0,58,true
2026-01-02,2,1,3500162,9,1,12.0,58,true
2026-01-02,2,1,3500162,10,1,10.0,48,true
2026-01-02,2,1,3500162,11,1,11.0,53,true
2026-01-02,2,1,3500162,12,1,10.0,48,true
2026-01-02,2,1,3500162,13,1,21.0,100,true
2026-01-02,4,1,3500162,1,1,12.0,58,true
2026-01-02,4,1,3500162,2,1,18.0,86,true
2026-01-02,4,1,3500162,3,1,20.0,96,true
2026-01-02,4,1,3500162,4,1,21.0,100,true
2026-01-02,4,1,3500162,5,1,23.0,110,true
2026-01-02,4,1,3500162,6,1,26.0,124,true
2026-01-02,4,1,3500162,7,1,10.0,48,true
2026-01-02,4,1,3500162,8,1,10.0,48,true
2026-01-02,4,1,3500162,9,1,10.0,48,true
2026-01-02,4,1,3500162,10,1,10.0,48,true
2026-01-02,4,1,3500162,11,1,10.0,48,true
2026-01-02,4,1,3500162,12,1,10.0,48,true
2026-01-02,4,1,3500162,13,1,20.0,96,true
2026-01-02,6,1,3500888,1,1,20.0,33,true
2026-01-02,6,1,3500888,2,1,25.0,41,true
2026-01-02,6,1,3500888,3,1,18.0,30,true
2026-01-02,6,1,3500888,4,1,19.0,31,true
2026-01-02,6,1,3500888,5,1,30.0,49,true
2026-01-02,6,1,3500888,6,1,35.0,57,true
2026-01-02,6,1,3500888,7,1,12.0,20,true
2026-01-02,6,1,3500888,8,1,10.0,17,true
2026-01-02,6,1,3500888,9,1,10.0,17,true
2026-01-02,6,1,3500888,10,1,10.0,17,true
2026-01-02,6,1,3500888,11,1,10.0,17,true
2026-01-02,6,1,3500888,12,1,12.0,20,true
2026-01-02,6,1,3500888,13,1,22.0,36,true
2026-01-02,1,2,3500005,1,1,22.0,125,true
2026-01-02,1,2,3500005,2,1,18.0,102,true
2026-01-02,1,2,3500005,3,1,12.0,68,true
2026-01-02,1,2,3500005,4,1,16.0,91,true
2026-01-02,1,2,3500005,5,1,12.0,68,true
2026-01-02,1,2,3500005,6,1,20.0,113,true
2026-01-02,1,2,3500005,7,1,12.0,68,true
2026-01-02,1,2,3500005,8,1,27.0,153,true
2026-01-02,1,2,3500005,9,1,18.0,102,true
2026-01-02,1,2,3500005,10,1,12.0,68,true
2026-01-02,1,2,3500005,11,1,19.0,108,true
2026-01-02,1,2,3500005,12,1,14.0,80,true
2026-01-02,1,2,3500005,13,1,22.0,125,true
2026-01-02,2,2,3500162,1,1,26.0,124,true
2026-01-02,2,2,3500162,2,1,22.0,105,true
2026-01-02,2,2,3500162,3,1,30.0,143,true
2026-01-02,2,2,3500162,4,1,29.0,139,true
2026-01-02,2,2,3500162,5,1,12.0,58,true
2026-01-02,2,2,3500162,6,1,28.0,134,true
2026-01-02,2,2,3500162,7,1,18.0,86,true
2026-01-02,2,2,3500162,8,1,35.0,167,true
2026-01-02,2,2,3500162,9,1,18.0,86,true
2026-01-02,2,2,3500162,10,1,12.0,58,true
2026-01-02,2,2,3500162,11,1,19.0,91,true
2026-01-02,2,2,3500162,12,1,24.0,115,true
2026-01-02,2,2,3500162,13,1,29.0,139,true
2026-01-02,4,2,3500162,1,1,32.0,153,true
2026-01-02,4,2,3500162,2,1,29.0,139,true
2026-01-02,4,2,3500162,3,1,18.0,86,true
2026-01-02,4,2,3500162,4,1,12.0,58,true
2026-01-02,4,2,3500162,5,1,16.0,77,true
2026-01-02,4,2,3500162,6,1,24.0,115,true
2026-01-02,4,2,3500162,7,1,18.0,86,true
2026-01-02,4,2,3500162,8,1,37.0,177,true
2026-01-02,4,2,3500162,9,1,14.0,67,true
2026-01-02,4,2,3500162,10,1,10.0,48,true
2026-01-02,4,2,3500162,11,1,19.0,91,true
2026-01-02,4,2,3500162,12,1,22.0,105,true
2026-01-02,4,2,3500162,13,1,27.0,129,true
2026-01-02,6,2,3500888,1,1,37.0,60,true
2026-01-02,6,2,3500888,2,1,30.0,49,true
2026-01-02,6,2,3500888,3,1,27.0,44,true
2026-01-02,6,2,3500888,4,1,18.0,30,true
2026-01-02,6,2,3500888,5,1,17.0,28,true
2026-01-02,6,2,3500888,6,1,22.0,36,true
2026-01-02,6,2,3500888,7,1,19.0,31,true
2026-01-02,6,2,3500888,8,1,39.0,63,true
2026-01-02,6,2,3500888,9,1,10.0,17,true
2026-01-02,6,2,3500888,10,1,14.0,23,true
2026-01-02,6,2,3500888,11,1,19.0,31,true
2026-01-02,6,2,3500888,12,1,26.0,42,true
2026-01-02,6,2,3500888,13,1,27.0,44,true
2026-01-03,1,2,3500005,1,1,18.0,102,true
2026-01-03,1,2,3500005,2,1,12.0,68,true
2026-01-03,1,2,3500005,3,1,15.0,85,true
2026-01-03,1,2,3500005,4,1,16.0,91,true
2026-01-03,1,2,3500005,5,1,20.0,113,true
2026-01-03,1,2,3500005,6,1,28.0,159,true
2026-01-03,1,2,3500005,7,1,10.0,57,true
2026-01-03,1,2,3500005,8,1,11.0,63,true
2026-01-03,1,2,3500005,9,1,10.0,57,true
2026-01-03,1,2,3500005,10,1,12.0,68,true
2026-01-03,1,2,3500005,11,1,11.0,63,true
2026-01-03,1,2,3500005,12,1,10.0,57,true
2026-01-03,1,2,3500005,13,1,22.0,125,true
2026-01-03,2,2,3500162,1,1,19.0,91,true
2026-01-03,2,2,3500162,2,1,10.0,48,true
2026-01-03,2,2,3500162,3,1,15.0,72,true
2026-01-03,2,2,3500162,4,1,12.0,58,true
2026-01-03,2,2,3500162,5,1,10.0,48,true
2026-01-03,2,2,3500162,6,1,23.0,110,true
2026-01-03,2,2,3500162,7,1,11.0,53,true
2026-01-03,2,2,3500162,8,1,10.0,48,true
2026-01-03,2,2,3500162,9,1,12.0,58,true
2026-01-03,2,2,3500162,10,1,11.0,53,true
2026-01-03,2,2,3500162,11,1,10.0,48,true
2026-01-03,2,2,3500162,12,1,12.0,58,true
2026-01-03,2,2,3500162,13,1,27.0,129,true
2026-01-03,4,2,3500162,1,1,19.0,91,true
2026-01-03,4,2,3500162,2,1,12.0,58,true
2026-01-03,4,2,3500162,3,1,11.0,53,true
2026-01-03,4,2,3500162,4,1,10.0,48,true
2026-01-03,4,2,3500162,5,1,11.0,53,true
2026-01-03,4,2,3500162,6,1,22.0,105,true
2026-01-03,4,2,3500162,7,1,10.0,48,true
2026-01-03,4,2,3500162,8,1,10.0,48,true
2026-01-03,4,2,3500162,9,1,11.0,53,true
2026-01-03,4,2,3500162,10,1,12.0,58,true
2026-01-03,4,2,3500162,11,1,14.0,67,true
2026-01-03,4,2,3500162,12,1,15.0,72,true
2026-01-03,4,2,3500162,13,1,20.0,96,true
2026-01-03,6,2,3500888,1,1,20.0,33,true
2026-01-03,6,2,3500888,2,1,15.0,25,true
2026-01-03,6,2,3500888,3,1,18.0,30,true
2026-01-03,6,2,3500888,4,1,10.0,17,true
2026-01-03,6,2,3500888,5,1,12.0,20,true
2026-01-03,6,2,3500888,6,1,21.0,34,true
2026-01-03,6,2,3500888,7,1,12.0,20,true
2026-01-03,6,2,3500888,8,1,10.0,17,true
2026-01-03,6,2,3500888,9,1,10.0,17,true
2026-01-03,6,2,3500888,10,1,10.0,17,true
2026-01-03,6,2,3500888,11,1,10.0,17,true
2026-01-03,6,2,3500888,12,1,11.0,18,true
2026-01-03,6,2,3500888,13,1,25.0,41,true
2026-01-01,1,3,3500005,1,1,18.0,102,true
2026-01-01,1,3,3500005,2,1,19.0,108,true
2026-01-01,1,3,3500005,3,1,20.0,113,true
2026-01-01,1,3,3500005,4,1,17.0,97,true
2026-01-01,1,3,3500005,5,1,12.0,68,true
2026-01-01,1,3,3500005,6,1,22.0,125,true
2026-01-01,1,3,3500005,7,1,17.0,97,true
2026-01-01,1,3,3500005,8,1,27.0,153,true
2026-01-01,1,3,3500005,9,1,17.0,97,true
2026-01-01,1,3,3500005,10,1,10.0,57,true
2026-01-01,1,3,3500005,11,1,22.0,125,true
2026-01-01,1,3,3500005,12,1,29.0,164,true
2026-01-01,1,3,3500005,13,1,27.0,153,true
2026-01-01,2,3,3500162,1,1,27.0,129,true
2026-01-01,2,3,3500162,2,1,18.0,86,true
2026-01-01,2,3,3500162,3,1,21.0,100,true
2026-01-01,2,3,3500162,4,1,22.0,105,true
2026-01-01,2,3,3500162,5,1,18.0,86,true
2026-01-01,2,3,3500162,6,1,22.0,105,true
2026-01-01,2,3,3500162,7,1,17.0,81,true
2026-01-01,2,3,3500162,8,1,32.0,153,true
2026-01-01,2,3,3500162,9,1,12.0,58,true
2026-01-01,2,3,3500162,10,1,19.0,91,true
2026-01-01,2,3,3500162,11,1,24.0,115,true
2026-01-01,2,3,3500162,12,1,22.0,105,true
2026-01-01,2,3,3500162,13,1,20.0,96,true
2026-01-03,1,2,3500005,1,2,18.0,102,true
2026-01-03,1,2,3500005,2,2,22.0,125,true
2026-01-03,1,2,3500005,3,2,19.0,108,true
2026-01-03,1,2,3500005,4,2,10.0,57,true
2026-01-03,1,2,3500005,5,2,14.0,80,true
2026-01-03,1,2,3500005,6,2,21.0,119,true
2026-01-03,1,2,3500005,7,2,14.0,80,true
2026-01-03,1,2,3500005,8,2,27.0,153,true
2026-01-03,1,2,3500005,9,2,12.0,68,true
2026-01-03,1,2,3500005,10,2,14.0,80,true
2026-01-03,1,2,3500005,11,2,22.0,125,true
2026-01-03,1,2,3500005,12,2,17.0,97,true
2026-01-03,1,2,3500005,13,2,24.0,136,true
2026-01-03,2,2,3500162,1,2,27.0,129,true
2026-01-03,2,2,3500162,2,2,22.0,105,true
2026-01-03,2,2,3500162,3,2,24.0,115,true
2026-01-03,2,2,3500162,4,2,18.0,86,true
2026-01-03,2,2,3500162,5,2,12.0,58,true
2026-01-03,2,2,3500162,6,2,19.0,91,true
2026-01-03,2,2,3500162,7,2,18.0,86,true
2026-01-03,2,2,3500162,8,2,35.0,167,true
2026-01-03,2,2,3500162,9,2,18.0,86,true
2026-01-03,2,2,3500162,10,2,12.0,58,true
2026-01-03,2,2,3500162,11,2,24.0,115,true
2026-01-03,2,2,3500162,12,2,27.0,129,true
2026-01-03,2,2,3500162,13,2,23.0,110,true
2026-01-03,4,2,3500162,1,2,37.0,177,true
2026-01-03,4,2,3500162,2,2,24.0,115,true
